Location,FIPS,"Mortality Rate, 1980*","Mortality Rate, 1985*","Mortality Rate, 1990*","Mortality Rate, 1995*","Mortality Rate, 2000*","Mortality Rate, 2005*","Mortality Rate, 2010*","Mortality Rate, 2014*","% Change in Mortality Rate, 1980-2014"
"Northwest Arctic Borough, Alaska",2188,"484.82 (427.50, 550.50)","438.45 (389.88, 490.50)","384.87 (346.17, 430.35)","364.19 (327.53, 402.07)","323.94 (292.13, 358.57)","267.32 (239.84, 297.53)","230.00 (205.48, 257.55)","241.87 (212.29, 272.55)","-50.11 (-57.72, -41.71)"
"Petersburg Borough, Alaska",2195,"482.77 (437.64, 529.56)","438.16 (402.46, 476.33)","382.80 (354.28, 412.29)","358.70 (334.51, 381.82)","326.16 (306.22, 346.29)","277.94 (259.54, 296.62)","244.93 (227.79, 263.58)","244.27 (224.95, 264.63)","-49.40 (-55.84, -42.41)"
"Prince of Wales-Hyder Census Area, Alaska",2198,"482.77 (437.64, 529.56)","438.16 (402.46, 476.33)","382.80 (354.28, 412.29)","358.70 (334.51, 381.82)","326.16 (306.22, 346.29)","277.94 (259.54, 296.62)","244.93 (227.79, 263.58)","244.27 (224.95, 264.63)","-49.40 (-55.84, -42.41)"
"Sitka City and Borough, Alaska",2220,"549.08 (483.22, 614.73)","464.28 (414.74, 514.36)","383.65 (347.93, 418.40)","351.30 (316.31, 383.33)","315.69 (287.51, 342.04)","248.15 (225.33, 270.25)","214.60 (192.59, 237.68)","207.70 (186.61, 232.34)","-62.17 (-67.82, -55.63)"
"Skagway Municipality, Alaska",2230,"482.90 (425.19, 542.98)","413.86 (366.42, 462.72)","348.22 (310.82, 386.43)","314.52 (282.15, 347.32)","287.38 (258.36, 317.37)","234.33 (208.52, 260.77)","195.80 (173.83, 218.09)","188.37 (164.29, 212.87)","-60.99 (-66.75, -53.86)"
"Southeast Fairbanks Census Area, Alaska",2240,"481.91 (420.17, 548.52)","438.82 (388.62, 490.41)","406.53 (361.34, 452.11)","360.20 (323.59, 396.49)","312.67 (282.84, 344.09)","278.90 (251.26, 306.46)","242.21 (216.93, 266.42)","254.86 (226.43, 284.72)","-47.11 (-54.76, -38.63)"
"Valdez-Cordova Census Area, Alaska",2261,"454.03 (407.46, 498.00)","410.62 (373.41, 446.85)","364.28 (332.78, 396.40)","336.85 (307.98, 366.74)","310.87 (284.51, 338.95)","257.68 (234.10, 281.65)","228.83 (204.64, 252.77)","229.32 (204.08, 253.69)","-49.49 (-55.36, -42.61)"
"Wrangell City and Borough, Alaska",2275,"482.77 (437.64, 529.56)","438.16 (402.46, 476.33)","382.80 (354.28, 412.29)","358.70 (334.51, 381.82)","326.16 (306.22, 346.29)","277.94 (259.54, 296.62)","244.93 (227.79, 263.58)","244.27 (224.95, 264.63)","-49.40 (-55.84, -42.41)"
"Yakutat City and Borough, Alaska",2282,"482.90 (425.19, 542.98)","413.86 (366.42, 462.72)","348.22 (310.82, 386.43)","314.52 (282.15, 347.32)","287.38 (258.36, 317.37)","234.33 (208.52, 260.77)","195.80 (173.83, 218.09)","188.37 (164.29, 212.87)","-60.99 (-66.75, -53.86)"
"Yukon-Koyukuk Census Area, Alaska",2290,"466.79 (420.22, 516.62)","412.79 (377.37, 453.94)","364.04 (335.47, 395.97)","352.77 (323.69, 384.38)","328.57 (300.37, 357.88)","272.44 (247.68, 297.53)","230.66 (208.40, 253.05)","239.30 (215.32, 264.36)","-48.74 (-54.99, -41.24)"
Arizona,4,"413.70 (402.27, 423.94)","373.15 (363.56, 383.35)","338.85 (330.77, 346.94)","312.23 (304.50, 320.18)","287.18 (280.29, 294.77)","253.25 (246.73, 260.00)","212.01 (206.25, 217.49)","209.33 (203.93, 214.85)","-49.40 (-50.58, -48.28)"
"Apache County, Arizona",4001,"332.83 (312.55, 353.88)","315.60 (297.92, 333.03)","286.95 (270.74, 304.04)","273.21 (259.11, 287.39)","260.31 (247.77, 274.90)","225.91 (214.51, 237.08)","205.94 (193.38, 217.20)","210.00 (198.86, 221.71)","-36.90 (-42.13, -31.78)"
"Cochise County, Arizona",4003,"417.38 (394.96, 438.51)","397.00 (378.42, 416.56)","361.95 (345.42, 379.64)","344.52 (330.46, 358.92)","320.68 (306.15, 333.89)","282.20 (269.42, 295.29)","255.26 (244.03, 267.08)","253.53 (241.75, 265.16)","-39.26 (-43.25, -34.81)"
"Coconino County, Arizona",4005,"362.07 (341.25, 385.36)","340.03 (320.88, 358.80)","299.23 (282.01, 316.41)","287.28 (272.53, 303.18)","254.62 (241.58, 268.29)","223.60 (211.57, 235.63)","192.11 (182.14, 203.09)","193.02 (182.43, 204.18)","-46.69 (-50.60, -42.27)"
"Gila County, Arizona",4007,"450.86 (424.85, 476.00)","418.47 (397.16, 438.35)","371.09 (353.52, 388.94)","360.96 (344.33, 377.44)","321.43 (306.65, 337.28)","287.37 (273.78, 300.48)","253.00 (239.79, 265.71)","249.67 (236.83, 263.94)","-44.62 (-48.69, -40.46)"
"Graham County, Arizona",4009,"408.17 (381.59, 436.81)","376.37 (354.89, 398.42)","340.11 (321.23, 360.01)","331.66 (313.27, 350.34)","311.84 (295.12, 329.55)","275.98 (259.35, 291.59)","247.92 (233.72, 262.58)","248.41 (231.85, 265.21)","-39.14 (-44.51, -33.40)"
"Greenlee County, Arizona",4011,"437.74 (400.74, 475.22)","408.01 (376.77, 439.84)","368.06 (342.62, 397.02)","342.68 (318.37, 369.01)","310.14 (287.25, 333.90)","278.42 (257.36, 302.02)","239.79 (219.01, 261.53)","233.53 (212.64, 257.77)","-46.65 (-52.64, -39.65)"
"La Paz County, Arizona",4012,"407.30 (389.05, 427.26)","371.37 (353.91, 387.45)","303.37 (289.41, 316.55)","279.70 (267.59, 291.53)","236.43 (227.25, 245.82)","215.81 (207.87, 224.96)","187.51 (179.51, 195.42)","184.95 (177.46, 192.59)","-54.59 (-57.33, -51.66)"
"Maricopa County, Arizona",4013,"414.31 (400.69, 427.70)","369.90 (358.36, 382.26)","334.46 (324.18, 344.18)","302.72 (293.35, 311.93)","284.34 (276.29, 292.75)","253.57 (246.19, 261.49)","205.31 (198.63, 211.47)","203.06 (197.13, 209.11)","-50.99 (-52.52, -49.35)"
"Mohave County, Arizona",4015,"453.15 (431.38, 475.67)","421.98 (404.38, 441.53)","395.04 (379.06, 412.05)","379.16 (364.43, 394.91)","352.41 (339.17, 366.19)","324.43 (311.98, 336.54)","297.12 (286.55, 307.88)","295.41 (283.97, 306.91)","-34.81 (-38.57, -30.71)"
"Navajo County, Arizona",4017,"400.20 (378.48, 423.72)","387.11 (366.13, 407.96)","346.52 (329.80, 363.65)","326.85 (311.03, 342.99)","298.28 (283.82, 312.97)","259.92 (246.19, 272.12)","229.73 (218.42, 240.55)","233.77 (221.96, 246.39)","-41.59 (-46.07, -36.96)"
"Pima County, Arizona",4019,"404.24 (387.90, 419.41)","364.19 (350.28, 378.00)","347.42 (334.92, 359.23)","327.08 (316.68, 338.63)","292.31 (281.56, 302.91)","243.33 (234.93, 252.09)","215.76 (208.32, 223.60)","213.43 (206.47, 220.51)","-47.20 (-49.39, -44.78)"
"Pinal County, Arizona",4021,"463.69 (442.22, 487.63)","401.13 (383.40, 419.39)","357.57 (343.07, 371.62)","321.60 (309.04, 335.70)","281.15 (270.38, 292.29)","247.09 (237.46, 256.58)","191.31 (183.37, 199.09)","180.70 (174.14, 187.93)","-61.03 (-63.33, -58.66)"
"Santa Cruz County, Arizona",4023,"392.16 (360.66, 422.40)","354.99 (330.90, 379.44)","297.97 (280.10, 317.76)","276.04 (260.21, 292.88)","245.63 (231.59, 258.85)","212.05 (199.30, 224.14)","175.04 (164.52, 185.96)","169.74 (158.44, 181.28)","-56.72 (-60.97, -51.61)"
"Yavapai County, Arizona",4025,"418.63 (396.55, 439.87)","389.68 (371.95, 407.86)","323.39 (309.21, 337.79)","308.30 (294.46, 321.72)","275.51 (263.74, 286.92)","247.07 (237.18, 257.33)","206.40 (198.11, 215.56)","212.93 (204.58, 221.42)","-49.14 (-52.07, -46.01)"
"Yuma County, Arizona",4027,"407.30 (389.05, 427.26)","371.37 (353.91, 387.45)","303.37 (289.41, 316.55)","279.70 (267.59, 291.53)","236.43 (227.25, 245.82)","215.81 (207.87, 224.96)","187.51 (179.51, 195.42)","184.95 (177.46, 192.59)","-54.59 (-57.33, -51.66)"
Arkansas,5,"520.61 (512.90, 527.66)","489.37 (482.37, 496.23)","444.04 (437.27, 450.64)","431.32 (424.26, 438.40)","408.79 (402.03, 415.90)","361.81 (355.76, 368.41)","322.61 (316.66, 328.94)","324.15 (317.65, 330.43)","-37.74 (-38.89, -36.55)"
"Arkansas County, Arkansas",5001,"612.15 (579.58, 646.13)","594.80 (562.89, 624.48)","542.56 (517.25, 570.83)","528.21 (504.41, 553.99)","499.40 (475.33, 524.54)","457.04 (432.47, 481.39)","412.42 (387.09, 437.20)","410.50 (385.17, 437.60)","-32.94 (-38.19, -27.03)"
"Ashley County, Arkansas",5003,"534.85 (505.31, 564.85)","506.21 (479.97, 531.07)","481.89 (457.43, 507.01)","477.45 (453.65, 503.32)","466.14 (441.57, 489.23)","416.42 (393.64, 437.64)","382.07 (359.78, 405.39)","384.50 (359.32, 409.00)","-28.11 (-34.25, -21.70)"
"Baxter County, Arkansas",5005,"447.03 (421.78, 471.13)","419.27 (399.48, 440.12)","377.71 (359.84, 394.88)","367.59 (350.17, 384.63)","348.37 (332.70, 363.31)","315.91 (299.82, 332.29)","279.78 (266.39, 294.05)","272.95 (257.61, 287.97)","-38.94 (-43.49, -34.28)"
"Benton County, Arkansas",5007,"478.79 (454.38, 499.81)","444.67 (424.85, 464.51)","384.20 (366.86, 401.25)","367.50 (351.18, 383.84)","342.91 (327.60, 357.30)","298.91 (287.47, 310.42)","265.06 (254.54, 276.02)","261.12 (249.31, 273.19)","-45.46 (-48.82, -41.94)"
"Boone County, Arkansas",5009,"443.39 (417.82, 469.04)","424.12 (400.93, 446.35)","406.35 (385.33, 426.91)","405.53 (385.46, 426.29)","387.76 (369.33, 406.40)","357.41 (339.91, 375.06)","324.84 (308.00, 343.08)","333.92 (313.35, 352.63)","-24.69 (-31.02, -18.01)"
"Bradley County, Arkansas",5011,"603.49 (567.35, 642.62)","599.66 (565.68, 634.88)","566.48 (535.01, 598.87)","559.80 (531.09, 590.13)","543.36 (512.53, 574.41)","506.28 (476.11, 538.02)","467.29 (435.96, 500.05)","458.00 (422.03, 496.52)","-24.11 (-31.64, -15.77)"
"Calhoun County, Arkansas",5013,"518.49 (477.14, 563.93)","482.24 (446.72, 518.95)","431.66 (402.60, 462.33)","413.14 (384.56, 441.20)","391.89 (364.39, 419.72)","346.59 (321.11, 373.20)","305.05 (282.08, 330.67)","310.24 (283.46, 340.63)","-40.16 (-46.82, -32.75)"
"Carroll County, Arkansas",5015,"428.83 (402.13, 456.13)","401.25 (377.74, 426.07)","365.90 (346.50, 387.51)","348.69 (329.88, 369.24)","336.07 (317.84, 355.45)","296.13 (279.63, 313.08)","263.61 (247.81, 280.40)","266.25 (248.49, 282.95)","-37.91 (-43.22, -32.10)"
"Chicot County, Arkansas",5017,"520.46 (490.92, 548.92)","518.07 (490.65, 544.80)","488.53 (463.13, 512.74)","490.02 (465.85, 514.70)","471.39 (446.62, 497.16)","446.75 (421.68, 472.40)","405.96 (381.00, 432.00)","420.61 (392.79, 449.95)","-19.19 (-26.32, -11.64)"
"Clark County, Arkansas",5019,"504.74 (474.44, 536.12)","477.26 (450.73, 504.81)","449.95 (424.30, 473.28)","446.32 (423.03, 471.74)","424.36 (402.61, 446.99)","388.10 (365.98, 410.84)","350.34 (328.32, 372.96)","355.56 (332.39, 379.72)","-29.55 (-36.32, -22.57)"
"Clay County, Arkansas",5021,"528.70 (497.37, 560.34)","513.24 (486.27, 542.85)","482.92 (458.62, 508.94)","482.76 (459.35, 509.23)","480.54 (456.07, 506.66)","426.58 (402.52, 450.41)","396.71 (372.21, 424.17)","404.92 (377.19, 434.26)","-23.41 (-30.29, -16.15)"
"Cleburne County, Arkansas",5023,"511.25 (482.81, 543.05)","478.27 (451.25, 504.33)","430.64 (409.47, 453.40)","422.56 (402.78, 442.98)","400.97 (380.95, 421.90)","352.87 (334.84, 371.18)","313.43 (296.25, 331.03)","311.96 (294.40, 331.19)","-38.98 (-43.95, -33.24)"
"Cleveland County, Arkansas",5025,"524.20 (488.65, 560.10)","495.47 (465.07, 528.78)","457.40 (431.37, 485.57)","455.24 (429.19, 484.13)","452.23 (424.11, 482.52)","394.41 (369.13, 422.37)","360.41 (333.04, 390.24)","353.88 (326.58, 384.21)","-32.49 (-39.46, -24.80)"
"Columbia County, Arkansas",5027,"536.81 (507.41, 568.00)","520.05 (492.84, 547.36)","473.53 (448.48, 495.82)","467.65 (444.24, 490.59)","448.78 (427.30, 470.27)","406.81 (385.18, 428.33)","374.77 (353.18, 397.21)","380.43 (356.64, 403.31)","-29.13 (-34.79, -22.40)"
"Conway County, Arkansas",5029,"500.93 (470.04, 533.12)","471.51 (444.96, 498.34)","431.00 (406.79, 455.94)","416.48 (395.34, 439.50)","389.24 (368.37, 410.01)","353.75 (332.46, 376.05)","307.80 (287.99, 327.60)","309.82 (287.48, 333.15)","-38.15 (-43.84, -31.72)"
"Craighead County, Arkansas",5031,"562.73 (535.47, 588.29)","527.53 (505.46, 550.05)","464.92 (443.95, 484.67)","454.21 (434.67, 475.01)","426.52 (408.36, 446.61)","391.75 (374.36, 409.98)","341.05 (323.27, 357.43)","340.77 (323.91, 358.66)","-39.44 (-43.30, -35.32)"
"Crawford County, Arkansas",5033,"566.11 (534.39, 597.14)","528.18 (500.75, 557.85)","487.45 (463.18, 511.62)","470.97 (449.10, 493.33)","438.31 (418.82, 459.00)","396.45 (376.90, 415.69)","350.69 (332.86, 369.62)","345.27 (326.56, 363.85)","-39.01 (-43.54, -33.92)"
"Crittenden County, Arkansas",5035,"613.48 (582.86, 645.13)","575.81 (548.16, 603.12)","498.32 (474.35, 522.89)","490.75 (467.78, 513.03)","460.47 (439.94, 483.12)","408.28 (387.72, 427.77)","372.97 (355.01, 391.72)","371.42 (352.65, 389.88)","-39.46 (-43.75, -34.80)"
"Cross County, Arkansas",5037,"582.16 (547.11, 619.38)","549.65 (519.65, 581.81)","501.72 (473.83, 530.14)","479.45 (454.36, 506.28)","453.12 (426.92, 478.04)","386.41 (363.18, 411.00)","345.21 (321.61, 368.30)","351.68 (326.07, 379.53)","-39.59 (-44.90, -33.73)"
"Dallas County, Arkansas",5039,"575.41 (538.07, 614.08)","545.72 (512.66, 581.35)","497.02 (467.53, 526.72)","489.90 (461.29, 519.86)","474.27 (446.00, 503.32)","420.80 (394.28, 450.19)","376.39 (350.40, 404.85)","384.27 (353.99, 414.18)","-33.22 (-40.17, -25.69)"
"Desha County, Arkansas",5041,"573.78 (539.10, 606.95)","550.41 (518.08, 580.91)","519.26 (491.72, 547.04)","534.40 (508.01, 561.79)","526.03 (497.81, 555.49)","478.13 (451.26, 505.96)","447.55 (417.96, 477.39)","468.84 (435.82, 501.11)","-18.29 (-25.91, -10.21)"
"Drew County, Arkansas",5043,"506.99 (476.45, 537.98)","483.61 (455.73, 514.96)","443.73 (417.54, 466.98)","437.08 (412.52, 461.43)","417.21 (395.16, 441.22)","371.95 (349.13, 394.81)","327.71 (306.56, 349.20)","339.38 (317.32, 364.86)","-33.06 (-39.03, -26.33)"
"Faulkner County, Arkansas",5045,"454.60 (431.62, 478.27)","428.90 (406.39, 450.60)","385.38 (366.46, 403.95)","365.28 (348.03, 383.53)","339.00 (322.83, 355.40)","303.48 (288.26, 319.42)","273.12 (258.59, 286.78)","278.64 (264.15, 294.01)","-38.71 (-42.90, -34.40)"
"Franklin County, Arkansas",5047,"498.19 (464.20, 532.27)","471.48 (444.20, 499.33)","434.58 (411.27, 458.80)","426.43 (404.33, 449.86)","396.31 (375.88, 417.70)","353.31 (333.57, 374.11)","325.49 (305.85, 345.38)","333.69 (312.05, 356.57)","-33.02 (-39.32, -26.32)"
"Fulton County, Arkansas",5049,"464.61 (434.78, 494.80)","442.21 (414.82, 468.40)","407.55 (385.08, 430.90)","400.85 (378.87, 423.50)","381.59 (360.79, 402.30)","344.24 (322.83, 365.95)","312.03 (291.35, 333.18)","315.22 (292.40, 338.69)","-32.15 (-38.69, -25.02)"
"Garland County, Arkansas",5051,"488.40 (466.78, 509.97)","458.73 (439.79, 479.21)","414.82 (397.61, 433.39)","404.03 (387.69, 420.99)","369.74 (354.22, 385.69)","326.65 (312.33, 341.51)","291.09 (278.24, 304.95)","299.46 (285.70, 314.36)","-38.69 (-42.52, -34.41)"
"Grant County, Arkansas",5053,"556.10 (519.59, 593.41)","519.62 (487.08, 552.41)","464.86 (436.39, 491.97)","449.48 (423.59, 477.08)","431.75 (405.35, 457.08)","368.80 (346.05, 393.07)","325.48 (302.67, 348.96)","323.77 (299.44, 348.61)","-41.78 (-46.99, -35.58)"
"Greene County, Arkansas",5055,"551.03 (521.20, 579.95)","529.52 (502.45, 555.88)","496.25 (474.59, 520.07)","482.32 (459.22, 506.00)","473.41 (450.54, 495.35)","420.54 (399.49, 442.08)","379.22 (358.52, 400.52)","375.93 (352.50, 398.01)","-31.78 (-36.78, -26.20)"
"Hempstead County, Arkansas",5057,"517.41 (486.71, 549.96)","495.04 (469.06, 522.19)","460.59 (437.49, 485.83)","470.14 (445.97, 494.43)","457.80 (435.72, 481.71)","421.71 (399.03, 444.25)","393.78 (371.07, 417.35)","402.28 (376.80, 429.82)","-22.25 (-28.72, -14.66)"
"Hot Spring County, Arkansas",5059,"497.31 (470.59, 526.46)","470.74 (445.60, 497.54)","439.71 (416.89, 462.74)","427.70 (406.32, 449.77)","407.67 (386.88, 430.19)","356.25 (336.86, 376.55)","324.63 (305.98, 343.60)","327.87 (309.03, 348.22)","-34.07 (-39.22, -28.10)"
"Howard County, Arkansas",5061,"505.23 (472.98, 539.05)","494.19 (465.19, 524.56)","465.18 (439.12, 493.10)","462.17 (435.64, 488.24)","460.40 (432.75, 486.50)","419.63 (393.93, 446.61)","389.03 (361.29, 416.05)","392.05 (363.94, 420.29)","-22.40 (-29.42, -14.96)"
"Independence County, Arkansas",5063,"503.37 (476.92, 532.18)","469.83 (445.29, 495.14)","438.68 (416.69, 462.99)","424.60 (403.15, 446.95)","411.56 (391.08, 433.47)","361.75 (342.53, 382.04)","332.39 (313.01, 353.32)","342.94 (323.10, 363.62)","-31.87 (-37.29, -25.89)"
"Izard County, Arkansas",5065,"477.48 (447.84, 508.35)","456.30 (430.72, 482.29)","413.73 (390.59, 436.37)","407.44 (385.02, 427.89)","377.46 (355.75, 398.69)","341.17 (320.43, 361.55)","301.12 (280.74, 321.35)","309.89 (289.10, 332.89)","-35.10 (-41.08, -28.43)"
"Jackson County, Arkansas",5067,"541.94 (511.14, 573.24)","519.11 (492.99, 546.99)","482.16 (458.28, 509.07)","491.99 (467.66, 515.50)","481.90 (456.19, 505.57)","437.48 (414.07, 462.24)","401.89 (377.57, 429.62)","411.84 (384.52, 439.53)","-24.01 (-30.03, -16.89)"
"Jefferson County, Arkansas",5069,"562.89 (539.89, 588.53)","544.59 (522.48, 566.43)","508.81 (488.29, 529.72)","494.87 (474.72, 516.82)","463.84 (444.08, 483.98)","426.63 (407.48, 444.92)","387.47 (370.23, 405.86)","397.92 (377.64, 417.57)","-29.31 (-33.60, -24.28)"
"Johnson County, Arkansas",5071,"468.19 (435.29, 503.27)","436.94 (409.86, 464.16)","397.64 (375.47, 423.14)","386.78 (366.53, 407.61)","375.33 (354.25, 395.37)","338.05 (318.60, 357.50)","306.15 (286.02, 325.31)","307.90 (286.98, 327.70)","-34.24 (-40.31, -27.65)"
"Lafayette County, Arkansas",5073,"530.57 (495.65, 568.06)","505.87 (474.74, 538.18)","460.98 (435.33, 486.75)","460.89 (435.28, 487.89)","446.05 (419.67, 474.88)","399.93 (375.70, 424.89)","371.04 (346.16, 397.47)","381.07 (353.20, 413.56)","-28.18 (-34.83, -20.82)"
"Lawrence County, Arkansas",5075,"505.90 (475.81, 538.10)","487.02 (459.71, 516.13)","444.84 (419.07, 469.56)","438.13 (415.51, 461.64)","426.08 (402.38, 450.56)","386.50 (364.01, 409.70)","339.75 (317.60, 362.44)","345.63 (322.75, 370.86)","-31.68 (-37.49, -24.76)"
"Lee County, Arkansas",5077,"546.13 (511.16, 580.52)","518.59 (485.91, 548.73)","472.97 (444.87, 501.52)","457.88 (429.88, 483.51)","442.89 (416.75, 466.22)","390.40 (365.21, 414.60)","351.32 (326.22, 375.21)","353.72 (327.20, 380.78)","-35.23 (-41.30, -28.54)"
"Lincoln County, Arkansas",5079,"517.58 (482.02, 556.57)","502.26 (471.25, 535.55)","462.33 (435.19, 492.41)","457.91 (429.21, 486.74)","441.37 (409.48, 470.92)","395.89 (368.67, 425.13)","356.09 (327.15, 384.59)","362.49 (331.91, 395.35)","-29.97 (-37.11, -22.21)"
"Little River County, Arkansas",5081,"498.56 (466.24, 529.26)","478.84 (447.21, 508.69)","437.60 (414.00, 462.89)","441.68 (417.21, 466.33)","439.22 (415.04, 463.43)","396.67 (373.42, 421.52)","368.71 (345.03, 394.84)","367.03 (341.88, 392.66)","-26.38 (-32.90, -19.03)"
"Logan County, Arkansas",5083,"554.56 (520.71, 587.62)","512.53 (482.75, 544.03)","470.16 (444.41, 495.27)","462.31 (436.61, 487.89)","440.32 (415.93, 465.37)","392.16 (370.34, 415.20)","358.23 (336.08, 381.03)","361.51 (336.45, 385.03)","-34.81 (-40.43, -28.64)"
"Lonoke County, Arkansas",5085,"521.87 (493.55, 550.94)","496.05 (471.39, 522.26)","448.23 (426.23, 471.77)","434.97 (414.75, 456.05)","413.91 (394.27, 434.22)","356.43 (339.41, 374.46)","313.40 (296.86, 330.40)","314.92 (298.18, 331.89)","-39.66 (-44.04, -34.82)"
"Madison County, Arkansas",5087,"488.45 (455.01, 522.79)","469.21 (439.95, 499.40)","433.08 (406.42, 460.10)","427.50 (402.40, 455.16)","411.64 (385.44, 437.39)","364.14 (338.64, 389.86)","332.80 (309.28, 357.33)","336.01 (310.22, 362.15)","-31.21 (-37.75, -24.55)"
"Marion County, Arkansas",5089,"400.78 (374.49, 428.92)","384.83 (361.25, 409.90)","352.80 (331.72, 372.61)","352.20 (331.34, 371.25)","337.40 (319.12, 355.85)","297.76 (279.84, 315.29)","276.05 (258.61, 295.37)","279.43 (261.26, 299.03)","-30.28 (-36.67, -23.11)"
"Miller County, Arkansas",5091,"541.24 (514.17, 570.09)","503.72 (479.98, 526.56)","455.44 (433.86, 477.67)","423.35 (403.91, 442.76)","399.94 (380.49, 419.46)","355.16 (337.54, 374.20)","326.70 (309.56, 344.72)","327.60 (309.11, 345.91)","-39.47 (-43.93, -34.35)"
"Mississippi County, Arkansas",5093,"612.81 (583.46, 641.60)","585.27 (560.13, 612.18)","519.34 (497.30, 543.70)","524.47 (500.75, 549.44)","517.84 (493.91, 541.43)","479.27 (457.25, 502.52)","429.10 (407.17, 451.91)","428.58 (405.09, 453.54)","-30.06 (-34.85, -24.78)"
"Monroe County, Arkansas",5095,"619.41 (581.39, 663.26)","580.39 (548.28, 614.28)","529.71 (499.36, 561.15)","519.98 (492.60, 551.66)","495.59 (467.74, 522.94)","451.66 (423.98, 479.79)","400.80 (374.28, 428.60)","407.09 (376.19, 440.01)","-34.28 (-40.47, -27.77)"
"Montgomery County, Arkansas",5097,"509.40 (476.24, 546.99)","478.73 (451.18, 507.47)","438.31 (412.85, 464.85)","422.91 (398.66, 448.81)","406.81 (382.07, 432.17)","372.06 (347.00, 397.43)","321.65 (299.01, 345.58)","322.42 (299.40, 348.12)","-36.71 (-42.61, -30.23)"
"Nevada County, Arkansas",5099,"501.67 (469.03, 536.42)","480.71 (450.75, 511.37)","451.69 (426.33, 478.39)","444.86 (418.51, 471.66)","431.21 (405.05, 460.31)","386.39 (360.40, 414.24)","361.52 (333.74, 390.51)","360.99 (331.79, 393.46)","-28.04 (-35.23, -20.00)"
"Newton County, Arkansas",5101,"438.04 (402.97, 470.84)","415.47 (386.95, 443.69)","380.78 (355.13, 407.66)","372.62 (347.89, 398.74)","363.39 (337.81, 390.64)","327.76 (303.06, 353.37)","305.99 (280.08, 331.28)","297.97 (270.93, 325.20)","-31.98 (-39.41, -23.85)"
"Ouachita County, Arkansas",5103,"565.54 (536.36, 596.57)","540.15 (513.59, 568.43)","506.01 (479.94, 530.76)","505.88 (483.98, 529.76)","495.07 (470.61, 520.48)","449.95 (426.74, 474.48)","407.51 (385.92, 429.30)","410.84 (386.74, 434.58)","-27.35 (-33.22, -21.34)"
"Perry County, Arkansas",5105,"542.61 (502.44, 584.38)","508.88 (474.71, 543.85)","450.28 (421.21, 481.81)","435.59 (407.60, 465.17)","400.12 (373.33, 428.27)","360.67 (335.74, 386.66)","312.23 (287.45, 337.81)","313.19 (286.73, 340.19)","-42.28 (-47.93, -35.97)"
